"trial","author","year","tpos","tneg","cpos","cneg","ablat","yi","vi","RR","RR_lci","RR_uci"
1,"Aronson",1948,4,119,11,128,44,-0.889311,0.325585,0.4109,0.1343,1.2574
2,"Ferguson & Simes",1949,6,300,29,274,55,-1.585389,0.194581,0.2049,0.0863,0.4864
3,"Rosenthal et al",1960,3,228,11,209,42,-1.348073,0.415368,0.2597,0.0734,0.9186
4,"Hart & Sutherland",1977,62,13536,248,12619,52,-1.441551,0.02001,0.2366,0.1793,0.3121
5,"Frimodt-Moller et al",1973,33,5036,47,5761,13,-0.217547,0.05121,0.8045,0.5163,1.2536
6,"Stein & Aronson",1953,180,1361,372,1079,44,-0.786116,0.006906,0.4556,0.3871,0.5362
7,"Vandiviere et al",1973,8,2537,10,619,19,-1.620898,0.223017,0.1977,0.0784,0.4989
8,"TPT Madras",1980,505,87886,499,87892,13,0.011952,0.003962,1.012,0.8946,1.1449
9,"Coetzee & Berjak",1968,29,7470,45,7232,27,-0.469418,0.056434,0.6254,0.3926,0.9962
10,"Rosenthal et al",1961,17,1699,65,1600,42,-1.371345,0.073025,0.2538,0.1494,0.431
11,"Comstock et al",1974,186,50448,141,27197,18,-0.339359,0.012412,0.7122,0.5725,0.886
12,"Comstock & Webster",1969,5,2493,3,2338,33,0.445913,0.532506,1.5619,0.3737,6.5285
13,"Comstock et al",1976,27,16886,29,17825,33,-0.017314,0.071405,0.9828,0.5821,1.6594
