"metric","value"
"analytic_N",5010
"weighted_diabetes_prev_pct",11.6965771150264
"weighted_diabetes_ci_lo",10.589130323756
"weighted_diabetes_ci_hi",12.8040239062968
"weighted_obesity_prev_pct",42.3204144537458
"weighted_obesity_ci_lo",38.9220961629932
"weighted_obesity_ci_hi",45.7187327444985
"aOR_obesity",3.031622128131
"aOR_obesity_ci_lo",2.287074659128
"aOR_obesity_ci_hi",4.01855387234176
"aOR_obesity_p",0.000114969692008913
"design_df",15
"n_strata",15
"n_psu",2
"sens_n_hba1c",4779
"weighted_hba1c_prev_pct",9.78766666843386
"aOR_obesity_hba1c",2.94605727748464
"aOR_obesity_hba1c_ci_lo",2.18189439593153
"aOR_obesity_hba1c_ci_hi",3.9778522271307
